LSMaMatHang,TenMatHang,LSMaNhomNganhHang,DVT,MoTa,SuDung,DonGiaBan,IsSyn,DonGiaVIP,IsVatTu,DonGiaNhap,ThuTu,KeySearch
THẺ BẠC ,THẺ BẠC ,02,VND,,1,500000,1,500000,0,500000,100,THẺ BẠC ;THẺ BẠC ;tb;the bac
THẺ VÀNG ,THẺ VÀNG ,02,VND,,1,700000,1,700000,0,700000,100,THẺ VÀNG ;THẺ VÀNG ;tv;the vang
THÊM BÒ,THEM BO,02,vnd,,1,25000,1,25000,0,25000,100,THÊM BÒ;THEM BO;tb;them bo
THÊM MỲ,THEM MY,02,vnd,,1,10000,1,10000,0,10000,100,THÊM MỲ;THEM MY;tm;them my
TIGER BAC,TIGER BAC,03,VND,,1,30000,1,30000,0,30000,100,TIGER BAC;TIGER BAC;tb;tiger bac
TRA CHANH SA,TRA CHANH,03,VND,,1,35000,1,35000,0,35000,100,TRA CHANH SA;TRA CHANH;tc;tra chanh
TRA DA,TRA DA,03,VND,,1,10000,1,10000,0,10000,100,TRA DA;TRA DA;td;tra da
TRÀ GỪNG,TRÀ GỪNG,03,VND,,1,20000,1,20000,0,20000,100,TRÀ GỪNG;TRÀ GỪNG;tg;tra gung
TRA O LONG,TRA O LONG,03,VND,,1,20000,1,20000,0,20000,100,TRA O LONG;TRA O LONG;tol;tra o long
TRÀ SỮA TRÂN CHÂU ĐEN,HỒNG TRÀ SỮA,03,VND,,1,30000,1,30000,0,30000,100,TRÀ SỮA TRÂN CHÂU ĐEN;HỒNG TRÀ SỮA;hts;hong tra sua
TRA XANH 0 DO,TRA XANH 0 DO,03,VND,,1,25000,1,25000,0,25000,100,TRA XANH 0 DO;TRA XANH 0 DO;tx0d;tra xanh 0 do
TRADUONG,TRA DUONG,02,cốc,,1,10000,1,10000,0,10000,100,TRADUONG;TRA DUONG;td;tra duong
TRUNG DUC THIT,TRUNG DUC THIT,02,VND,,1,35000,1,35000,0,35000,100,TRUNG DUC THIT;TRUNG DUC THIT;tdt;trung duc thit
TRUNG LUOC,TRUNG LUOC,02,VND,,1,10000,1,10000,0,10000,100,TRUNG LUOC;TRUNG LUOC;tl;trung luoc
TRUNG OPLA,TRUNG OPLA,02,VND,,1,10000,1,10000,0,10000,100,TRUNG OPLA;TRUNG OPLA;to;trung opla
VINA,VINA,03,VND,,1,30000,1,30000,0,30000,100,VINA;VINA;v;vina
VỠ CỐC,VỠ CỐC,02,vnd,,1,10000,1,10000,0,10000,100,VỠ CỐC;VỠ CỐC;vc;vo coc
XUC XICH RAN,XUC XICH RAN,02,VND,,1,20000,1,20000,0,20000,100,XUC XICH RAN;XUC XICH RAN;xxr;xuc xich ran
